Timestep,DHW Node 1,DHW Node 2,DHW Node 3,DHW Node 4,DHW Node 5,DHW Discharge Vol [L],DHW Discharge Energy [kWh],DHW Charge Energy [kWh],,SH Node 1,SH Node 2,SH Node 3,SH Node 4,SH Node 5,SH Discharge Vol [L],SH Discharge Energy [kWh],SH Charge Energy [kWh]
8980.0,50.561597391454754,50.55615230999372,48.596237213964606,40.733398887508265,25.59041758471025,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8981.0,50.494701489977864,50.49366958643218,48.5519294249257,40.65384163661764,25.71238466025846,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8982.0,50.432388991131404,50.426975093201065,48.50771695330564,40.57478145302423,25.828178065454757,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8983.0,50.365876196943745,50.364850203024275,48.46359959405224,40.49621523109158,25.93811029615461,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8984.0,50.30392055661917,50.298537663634036,48.41957714255438,40.41813988458703,26.042478030449672,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8985.0,50.23778867569705,50.236768557559785,48.375649394641165,40.3405523465604,26.141562929323626,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8986.0,50.17294490276581,50.168678067521945,48.313123684498635,40.2336442529115,26.162128287023137,0.88,0.035770777777777776,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8987.0,50.107843757378355,50.10589329035288,48.26686322625462,40.15318589010967,26.24510492133112,0.12,0.004877833333333333,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8988.0,50.04566913282788,50.04128210067624,48.2232640051454,40.07725376330508,26.33393335039046,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
8989.0,49.981233966549766,49.979294669687526,48.17975857714368,40.00179605431433,26.41826550505422,0.0,0.0,0.0,,15.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0
