Timestep,Combined Electrical Input [kWh],DHW Electrical Input [kWh],SH Electrical Input [kWh],Combined Thermal Charge [kWhth],DHW Thermal Charge [kWhth],SH Thermal Charge [kWhth],DHW SOC [kWhth],SH SOC [kWhth],PV Generation [kWh],Net Wind Generation [kWh],PV Used [kWh],Wind Used [kWh],Grid Used [kWh],Electricity Cost [£],PV Cost [£],Wind Cost [£],Grid Cost [£]
3790.0,0.0,0.0,0.0,0.0,0.0,0.0,20.404951732391048,17.56747354045654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3791.0,0.0,0.0,0.0,0.0,0.0,0.0,20.368708664420378,17.425722585437978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3792.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3394788835572,17.285640973797097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3793.0,0.0,0.0,0.0,0.0,0.0,0.0,20.310332208099688,17.139458598662603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3794.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2812683867944,16.999747709726243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3795.0,0.0,0.0,0.0,0.0,0.0,0.0,20.252287169188126,16.86276039940617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3796.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22338830562516,16.72223116988201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3797.0,0.0,0.0,0.0,0.0,0.0,0.0,20.19457154724477,16.584366938717803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3798.0,0.0,0.0,0.0,0.0,0.0,0.0,20.165836645978438,16.44310495540189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3799.0,0.0,0.0,0.0,0.0,0.0,0.0,20.137183354547346,16.300810506466675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3800.0,0.0,0.0,0.0,0.0,0.0,0.0,20.108611426459692,16.15957437543588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3801.0,0.0,0.0,0.0,0.0,0.0,0.0,20.08012061600809,16.012718860393285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3802.0,0.0,0.0,0.0,0.0,0.0,0.0,20.051710678267025,15.876120045641963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3803.0,0.0,0.0,0.0,0.0,0.0,0.0,20.023381369090167,15.731951314269653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3804.0,0.0,0.0,0.0,0.0,0.0,0.0,19.995132445107906,14.765824688891303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3805.0,0.0,0.0,0.0,0.0,0.0,0.0,19.966963663724663,10.330129385568164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
